pay_rank,type,pct_stem,early_pay,mid_pay,college_name,state
1,"Engineering, Liberal Arts School, Private School",85,91400,162500,harvey mudd college,California
2,"Engineering, Private School, Research University",69,88300,158100,massachusetts institute of technology,Massachusetts
3,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School",58,79600,152600,united states naval academy at annapolis,Maryland
4,"Ivy League, Private School, Research University, For Sports Fans",48,77300,150500,princeton university,New Jersey
5,"Engineering, Private School, Research University",97,87600,150300,california institute of technology,California
6,"Ivy League, Private School, Research University, For Sports Fans",19,76400,147700,harvard university,Massachusetts
7,"Engineering, Private School, Research University, For Sports Fans",51,81800,147100,stanford university,California
8,"Private School, Religious, For Sports Fans",29,71100,146300,santa clara university,California
8,"Liberal Arts School, Sober School, For Sports Fans, State School",39,81100,146300,united states military academy at west point,New York
10,"Business, Private School",0,73000,146200,babson college,Massachusetts
11,"Liberal Arts School, Party School, Private School, For Sports Fans",26,69700,144800,colgate university,New York
12,"Engineering, Private School, Research University",79,75800,144300,stevens institute of technology,New Jersey
13,State School,32,74500,143400,suny - maritime college,New York
14,"Ivy League, Private School, Research University, For Sports Fans",21,73700,142900,university of pennsylvania,Pennsylvania
15,"Engineering, Research University, State School",93,75800,142800,colorado school of mines,Colorado
16,"Liberal Arts School, Private School",32,67600,142300,williams college,Massachusetts
17,"Ivy League, Private School, Research University, For Sports Fans",35,73300,141400,dartmouth college,New Hampshire
18,"Ivy League, Private School, Research University, For Sports Fans",22,72700,141300,yale university,Connecticut
19,"Liberal Arts School, Private School",45,67700,141000,swarthmore college,Pennsylvania
20,Private School,2,77700,140800,albany college of pharmacy and health sciences,New York
21,"Liberal Arts School, Private School",18,66500,140600,washington and lee university,Virginia
22,"Liberal Arts School, Sober School, For Sports Fans, State School",43,77600,140400,united states air force academy,Colorado
23,"Engineering, Private School, Research University, For Sports Fans",52,70300,139800,lehigh university,Pennsylvania
24,"Research University, For Sports Fans, State School",36,72600,138800,university of california - berkeley,California
25,"Liberal Arts School, Private School",16,70700,138500,claremont mckenna college,California
25,"Engineering, State School",56,84300,138500,united states merchant marine academy,New York
27,"Engineering, Private School",100,81500,137900,webb institute,New York
28,"Engineering, Private School",96,76600,137700,rose-hulman institute of technology,Indiana
29,"Engineering, Research University, For Sports Fans, State School",80,74500,137300,georgia institute of technology,Georgia
30,"Private School, Religious, Research University, For Sports Fans",28,68300,136900,university of notre dame,Indiana
31,"Ivy League, Private School, Research University, For Sports Fans",43,69900,136700,brown university,Rhode Island
32,"Engineering, Private School, Research University",66,78600,136500,carnegie mellon university,Pennsylvania
33,"Liberal Arts School, Private School",36,61300,136300,haverford college,Pennsylvania
34,"Engineering, Private School",56,69300,136100,cooper union for the advancement of science and art,New York
35,"Engineering, Private School, Research University",86,74600,135500,worcester polytechnic institute,Massachusetts
36,"Engineering, Private School, Research University",78,72600,135200,rensselaer polytechnic institute,New York
37,"Private School, Religious, Research University, For Sports Fans",26,72300,135000,duke university,North Carolina
38,"Private School, Religious, Research University, For Sports Fans",14,67200,134500,georgetown university - washington d.c.,Washington D.C.
39,"Private School, Research University, For Sports Fans",45,72400,134100,rice university,Texas
40,"Engineering, Private School, Research University",58,66800,133100,clarkson university - potsdam%2c ny,New York
40,"Ivy League, Private School, Research University, For Sports Fans",43,71600,133100,cornell university - ithaca%2c ny,New York
42,State School,15,69800,132900,california maritime academy,California
43,"Ivy League, Private School, Research University, For Sports Fans",30,73700,132100,columbia university,New York
44,"Liberal Arts School, Private School, Religious, For Sports Fans",47,68400,131800,lafayette college,Pennsylvania
45,"Liberal Arts School, Party School, Private School, For Sports Fans",40,67700,129500,bucknell university,Pennsylvania
46,"Private School, Research University",29,61400,129400,brandeis university,Massachusetts
47,Private School,0,93900,129300,samuel merritt college,
47,Private School,3,85700,129300,charles drew university of medicine and science,
49,"Engineering, Research University, State School",58,65000,128900,university of california - san diego,California
50,"Private School, Religious, For Sports Fans",40,64300,128700,manhattan college,New York
51,"Liberal Arts School, Private School",32,64800,127100,amherst college,Massachusetts
52,"Private School, Research University, For Sports Fans",23,66100,126300,university of southern california,California
53,"Research University, For Sports Fans, State School",34,61100,125900,university of california - irvine,California
54,"Research University, For Sports Fans, State School",23,65700,125200,university of virginia - main campus,Virginia
55,"Private School, Research University",25,66000,124800,tufts university,Massachusetts
56,"Liberal Arts School, Party School, Private School",47,64200,124700,union college - schenectady%2c ny,New York
56,"Private School, Research University",18,64100,124700,new york university,New York
58,Private School,43,69200,124600,embry-riddle aeronautical university - prescott%2c az,Arizona
59,Private School,2,65300,124500,massachusetts college of pharmacy and health sciences,Massachusetts
59,"Liberal Arts School, Private School",23,59100,124500,bates college,Maine
59,"Engineering, State School",91,65800,124500,new mexico institute of mining and technology,New Mexico
59,"Private School, Research University, For Sports Fans",15,62000,124500,george washington university,District of Columbia
63,"Liberal Arts School, Private School",37,62800,124400,bowdoin college,Maine
63,"Engineering, Research University, For Sports Fans, State School",75,65700,124400,new jersey institute of technology,New Jersey
63,"Party School, Research University, For Sports Fans, State School",29,59900,124400,university of california - santa barbara,California
63,"Party School, Private School, Research University, For Sports Fans",13,61500,124400,wake forest university,North Carolina
67,"Private School, Research University",11,65100,124200,yeshiva university,New York
68,"Engineering, Private School",74,71800,124100,kettering university,Michigan
69,State School,48,67600,124000,maine maritime academy,Maine
70,"Liberal Arts School, Private School",21,62700,123600,wesleyan university - middletown%2c ct,Connecticut
71,"For Sports Fans, State School",38,66400,123500,california polytechnic state university - san luis obispo,California
72,"Liberal Arts School, Private School, Religious, For Sports Fans",24,61300,123100,college of the holy cross,Massachusetts
72,"Private School, Research University",22,65800,123100,university of chicago,Illinois
74,"Research University, For Sports Fans, State School",31,62600,122400,university of california - los angeles,California
74,"Private School, Research University, For Sports Fans",23,67000,122400,vanderbilt university,Tennessee
76,"Private School, Religious, For Sports Fans",9,59300,122300,loyola marymount university,California
77,"Private School, Religious, For Sports Fans",17,63100,122200,fairfield university,Connecticut
77,"Liberal Arts School, For Sports Fans, State School",47,66100,122200,virginia military institute,Virginia
79,"Liberal Arts School, Private School",24,58400,122100,gettysburg college,Pennsylvania
80,"Liberal Arts School, Private School",37,65200,121900,pomona college,California
81,"Private School, Religious, For Sports Fans",8,60200,121600,loyola university - baltimore%2c md,Maryland
81,"Private School, Religious, Research University, For Sports Fans",23,66400,121600,villanova university,Pennsylvania
84,"Private School, Research University, For Sports Fans",25,62400,120900,boston university,Massachusetts
84,"Liberal Arts School, Private School",23,58000,120900,franklin and marshall college,Pennsylvania
86,"Private School, Research University, For Sports Fans",20,64600,120300,northwestern university,Illinois
86,Private School,12,59100,120300,university of the sciences in philadelphia,Pennsylvania
88,"Liberal Arts School, Private School",45,58900,120100,carleton college,Minnesota
88,"Engineering, Private School, Research University",64,66100,120100,illinois institute of technology,Illinois
90,"Liberal Arts School, Private School",19,60000,119900,barnard college - columbia university,New York
90,"Research University, For Sports Fans, State School",35,62700,119900,university of california - davis,California
92,"Private School, Religious, Research University, For Sports Fans",13,64500,119700,boston college,Massachusetts
92,"Engineering, Research University, State School",80,69200,119700,missouri university of science and technology,Missouri
94,"Liberal Arts School, Private School",18,56500,119600,hobart william smith colleges,New York
95,"Business, Private School",7,68400,119300,bentley university,Massachusetts
95,"Liberal Arts School, Private School",34,62300,119300,wabash college,Indiana
97,"Engineering, State School",69,72600,119200,united states coast guard academy,Indiana
98,"Research University, For Sports Fans, State School",30,61200,119000,texas a%26m university - main campus,Texas
98,"Private School, Research University",37,68100,119000,case western reserve university,Ohio
100,"Private School, Religious, For Sports Fans",5,59600,118900,saint mary%27s college of california,NA
100,"Liberal Arts School, Private School, Religious, For Sports Fans",28,57200,118900,davidson college,North Carolina
102,"Liberal Arts School, Private School",25,56800,118800,occidental college,California
103,"Liberal Arts School, Private School",19,61800,118400,middlebury college,Vermont
104,"Private School, Religious, Research University, For Sports Fans",10,60000,118200,fordham university,New York
105,"Private School, Research University",30,66100,118000,washington university in st. louis,Missouri
106,"Research University, For Sports Fans, State School",36,64200,117800,university of illinois at urbana-champaign,Illinois
107,"Private School, Religious, Research University, For Sports Fans",22,60600,117700,southern methodist university,Texas
108,State School,47,68600,117600,massachusetts maritime academy,Massachusetts
109,"Private School, Research University",31,69000,117300,johns hopkins university,Maryland
110,"Private School, Research University, For Sports Fans",7,56800,117100,hofstra university,New York
111,"Private School, Religious, Research University",20,63500,116900,emory university,Georgia
112,"Liberal Arts School, Private School",22,60700,116800,trinity college,Connecticut
113,"Engineering, Private School",69,67800,116100,milwaukee school of engineering,Wisconsin
114,"Private School, Research University",14,52700,116000,clark university - worcester%2c ma,Massachusetts
114,"Research University, For Sports Fans, State School",42,63900,116000,virginia polytechnic institute and state university,Virginia
114,"Private School, Research University",32,63200,116000,university of rochester,New York
117,"For Sports Fans, State School",28,64800,115900,san jose state university,California
118,"Private School, Religious, Research University, For Sports Fans",12,60200,115700,university of san diego,California
118,"Private School, Religious, For Sports Fans",12,61900,115700,seattle university,Washington
120,"Research University, For Sports Fans, State School",28,62100,115600,university of texas - austin,Texas
121,"Liberal Arts School, Private School",20,60000,115500,hampden-sydney college,Virginia
122,"Research University, For Sports Fans, State School",34,63300,115400,university of washington - main campus,Washington
123,"Engineering, State School",92,68500,115300,south dakota school of mines %26 technology,South Dakota
124,"Research University, For Sports Fans, State School",29,60800,115200,rutgers university - new brunswick campus,New Jersey
124,"Research University, For Sports Fans, State School",21,59600,115200,the college of william and mary,Virginia
124,"Liberal Arts School, Private School",22,54400,115200,denison university,Ohio
127,"Research University, For Sports Fans, State School",34,61800,115100,suny - binghamton university,New York
128,"Engineering, Research University, State School",81,67400,114700,michigan technological university,Michigan
129,"Research University, For Sports Fans, State School",39,58600,114600,university of colorado - boulder,Colorado
130,"Liberal Arts School, Private School",33,55800,114500,whitman college,Washington
130,"Liberal Arts School, Private School, Religious",22,51700,114500,wittenberg university,Ohio
132,"Private School, Religious, Research University, For Sports Fans",6,61200,114400,university of san francisco,California
133,"Liberal Arts School, Private School, Religious",25,59700,114200,saint john%27s university - collegeville%2c mn,Minnesota
134,"Business, Private School",0,61800,114100,menlo college,NA
135,State School,30,58800,114000,california state polytechnic university - pomona,California
136,Private School,39,64100,113900,wentworth institute of technology,NA
137,"Engineering, Private School",88,70500,113600,capitol college,Ohio
137,"Private School, Research University, For Sports Fans",28,63100,113600,drexel university,Pennsylvania
139,"Private School, Religious, Research University, Sober School, For Sports Fans",25,59900,113400,brigham young university,Utah
140,"Private School, Religious, Research University",20,58600,113300,university of st. thomas - st paul%2c mn,Minnesota
140,"Liberal Arts School, Private School, Religious",18,54600,113300,westmont college,California
142,"Research University, For Sports Fans, State School",33,62900,112800,university of maryland - college park,Maryland
143,"Private School, Religious, For Sports Fans",19,59400,112700,gonzaga university,Washington
144,"Research University, For Sports Fans, State School",38,65900,112300,university of michigan - ann arbor,Michigan
144,"Liberal Arts School, Private School, For Sports Fans",13,60500,112300,university of richmond,Virginia
146,"Private School, Research University, For Sports Fans",16,59600,112100,university of the pacific,California
147,"Research University, For Sports Fans, State School",22,57700,112000,miami university - oxford%2c oh,Ohio
148,"Private School, Religious, For Sports Fans",11,60100,111900,providence college,Rhode Island
149,"Private School, Research University",14,59900,111800,pace university - new york%2c ny,New York
150,"Art, Private School, Research University",6,55900,111400,the new school,New York
151,"Engineering, Private School",60,59200,111100,lawrence technological university,Michigan
152,"Business, Sober School, State School",8,59200,111000,cuny - bernard m baruch college,New York
152,"Research University, For Sports Fans, State School",35,60100,111000,stony brook university,New York
154,"Research University, For Sports Fans, State School",35,60000,110700,university of massachusetts - lowell campus,Massachusetts
154,"Research University, State School",38,59300,110700,university of california - santa cruz,California
156,"For Sports Fans, State School",19,60700,110400,the citadel - military college of south carolina,South Carolina
157,"Party School, Private School, Research University, For Sports Fans",22,56800,110300,tulane university,Louisiana
158,"Liberal Arts School, Private School",17,55400,110200,kenyon college,Ohio
159,"Research University, For Sports Fans, State School",23,59700,110000,george mason university,Virginia
160,"Private School, Research University, For Sports Fans",40,65000,109700,northeastern university,Massachusetts
160,"Liberal Arts School, Private School",26,57300,109700,reed college,Oregon
162,"Private School, Religious, Research University, For Sports Fans",3,56500,109600,american university - washington d.c.,Washington D.C.
162,"Private School, Religious, Research University, For Sports Fans",7,55100,109600,st. john%27s university - queens%2c ny,New York
164,"Business, Private School",3,59700,109500,golden gate university - san francisco%2c ca,California
164,Private School,35,65800,109500,embry-riddle aeronautical university - daytona beach%2c fl,Florida
164,"Liberal Arts School, Private School, Religious",25,52000,109500,rhodes college,Tennessee
164,"Business, Private School",10,62100,109500,polytechnic university of puerto rico - miami%2c fl,Florida
164,"Private School, Religious, For Sports Fans",6,57800,109500,saint joseph%27s university - philadelphia%2c pa,Pennsylvania
169,"Liberal Arts School, Private School",34,61600,109300,wellesley college,Massachusetts
169,"Private School, Religious, Research University",14,57800,109300,catholic university of america,District of Columbia
171,"Party School, Private School, Research University, For Sports Fans",27,59100,109100,syracuse university,New York
172,"Liberal Arts School, Private School",14,52800,108900,willamette university,Oregon
173,"Party School, Research University, For Sports Fans, State School",22,59500,108800,university of delaware,Delaware
173,"Private School, Religious, Research University",9,54400,108800,seattle pacific university,Washington
175,State School,13,57300,108700,california state university - chico,California
175,"Private School, Religious",27,55000,108700,trinity university,Texas
175,"Private School, Religious, Research University, For Sports Fans",25,58700,108700,marquette university,Wisconsin
175,"Private School, Religious, For Sports Fans",8,58600,108700,wagner college,New York
179,"Research University, For Sports Fans, State School",38,62800,108600,purdue university - main campus,Indiana
179,Private School,8,53000,108600,ithaca college,New York
179,"Private School, Religious, For Sports Fans",5,55900,108600,la salle university - philadelphia%2c pa,Pennsylvania
182,"Research University, For Sports Fans, State School",31,56800,108500,university of california - riverside,California
182,"Business, Private School, For Sports Fans",8,61000,108500,bryant university,Rhode Island
184,"Party School, Private School, Religious, Research University, For Sports Fans",33,58700,108400,university of dayton,Ohio
185,"Private School, Religious, Research University, For Sports Fans",15,56400,108300,depaul university,Illinois
185,"Liberal Arts School, Private School",21,55000,108300,university of puget sound,Washington
185,"Research University, For Sports Fans, State School",47,58600,108300,north carolina state university,North Carolina
188,"Liberal Arts School, Private School",21,55900,108200,lake forest college,Illinois
189,"Liberal Arts School, Private School",40,53100,107900,ursinus college,Pennsylvania
189,State School,0,54300,107900,fashion institute of technology - new york%2c ny,New York
191,"Liberal Arts School, Private School",0,55300,107800,st john%27s college - annapolis%2c md,Maryland
191,"Art, Private School",0,53900,107800,pratt institute,New York
193,"Liberal Arts School, Private School",24,56300,107700,vassar college - poughkeepsie%2c ny,New York
193,"Private School, Religious, For Sports Fans",4,56000,107700,iona college,New York
195,"Liberal Arts School, Private School, Religious",23,51500,107400,albion college,Michigan
196,"Private School, Research University, For Sports Fans",12,57000,107300,university of denver,Colorado
196,"Engineering, State School",58,65800,107300,university of puerto rico at mayaguez,
196,"Liberal Arts School, Party School, Private School",24,56500,107300,st. lawrence university,New York
199,State School,26,62300,107100,university of washington - bothell campus,Washington
200,"Private School, For Sports Fans",38,56300,107000,bradley university,Illinois
200,"Research University, For Sports Fans, State School",39,58600,107000,clemson university,South Carolina
202,"Liberal Arts School, Private School, Religious",18,56200,106900,stonehill college,Massachusetts
202,"Private School, Religious, Research University, For Sports Fans",7,59400,106900,pepperdine university,California
204,"Liberal Arts School, Private School, Religious, Sober School",12,54600,106800,wheaton college - wheaton%2c il,Illinois
204,State School,13,58300,106800,north central state college,Ohio
206,"Liberal Arts School, Private School, Religious, For Sports Fans",28,52800,106600,wofford college - spartanburg%2c sc,South Carolina
206,"Liberal Arts School, Private School",22,55000,106600,skidmore college,New York
208,"Liberal Arts School, Private School",16,47200,106400,hampshire college,Massachusetts
208,"Liberal Arts School, Private School, Religious",30,55000,106400,st. olaf college,Minnesota
208,"Art, Private School",4,66300,106400,art center college of design,
211,Private School,0,54300,106300,southern california institute of architecture,California
211,"Research University, For Sports Fans, State School",22,57600,106300,texas tech university,Texas
211,"Private School, Religious, For Sports Fans",28,60200,106300,university of portland,Oregon
214,"Liberal Arts School, Private School",25,63200,106000,hamilton college - clinton%2c ny,New York
214,"Research University, For Sports Fans, State School",19,53600,106000,suny - albany,New York
216,"Liberal Arts School, Private School, Religious, For Sports Fans",18,54500,105900,siena college,New York
217,"Engineering, State School",61,63500,105800,montana tech of the university of montana,Montana
217,"For Sports Fans, State School",12,58200,105800,james madison university,Virginia
219,"Liberal Arts School, Private School",25,61000,105700,colby college,Maine
219,"Research University, For Sports Fans, State School",30,58800,105700,university of minnesota - twin cities,Minnesota
219,"Research University, For Sports Fans, State School",37,60100,105700,pennsylvania state university - main campus,Pennsylvania
222,"Liberal Arts School, Party School, Private School, Religious",17,53800,105600,sewanee%3a the university of the south,Tennessee
223,"Liberal Arts School, Private School",24,57800,105500,depauw university,Indiana
224,"Research University, State School",45,58700,105400,university of alabama in huntsville,Alabama
224,"Research University, For Sports Fans, State School",31,55500,105400,auburn university,Alabama
226,"Business, Private School",4,55900,105300,university of redlands,California
227,"Research University, For Sports Fans, State School",45,59500,105200,university of maryland%2c baltimore county,Maryland
227,"Party School, Research University, For Sports Fans, State School",24,60800,105200,university of connecticut - main campus,Connecticut
227,"Research University, For Sports Fans, State School",29,57100,105200,university of florida,Florida
227,"Engineering, Private School, Research University",50,63300,105200,rochester institute of technology,New York
231,"Party School, Research University, For Sports Fans, State School",33,59100,105000,university of wisconsin - madison,Wisconsin
232,"Art, Private School",0,61700,104900,california college of the arts,California
233,"Private School, Religious, Research University, For Sports Fans",8,58600,104800,seton hall university - south orange%2c nj,New Jersey
233,"Liberal Arts School, Private School, For Sports Fans",16,52200,104800,furman university,South Carolina
233,"Research University, For Sports Fans, State School",20,57200,104800,washington state university,Washington
233,"Private School, For Sports Fans",17,57100,104800,marist college,New York
